id,authority,place,ward,precinct,registered,ballots,il-constitution-votes,il-constitution-yes,il-constitution-no,us-president-votes,us-president-dem,us-president-rep
,,,,ALLIN 01,626,486,481,98,383,484,127,347
,,,,ANCHOR 01,191,157,152,22,130,157,34,122
,,,,ARROWSMITH 01,327,248,242,56,186,245,87,150
,,,,BELLFLOWER 01,386,317,312,48,264,316,52,260
,,,,BLOOMINGTON 01,446,312,305,102,203,310,122,183
,,,,BLOOMINGTON 02,1599,1186,1165,385,780,1178,502,649
,,,,BLUE MOUND 01,309,225,253,56,197,252,83,164
,,,,CHENEYS GROVE 01,676,533,522,72,450,532,119,408
,,,,CHENOA 01,713,580,570,134,436,578,160,401
,,,,CHENOA 02,658,448,435,86,349,446,104,322
,,,,CROPSEY 01,132,110,106,12,94,109,19,89
,,,,DALE 01,1072,820,801,225,576,811,282,504
,,,,DANVERS 01,624,505,501,107,394,504,140,355
,,,,DANVERS 02,827,647,639,179,460,645,203,421
,,,,DAWSON 01,465,377,371,77,294,374,95,273
,,,,DOWNS 01,934,769,757,190,567,768,245,512
,,,,DRY GROVE 01,1408,1092,1072,324,748,1086,424,637
,,,,EMPIRE 01,1010,766,750,206,544,763,277,470
,,,,EMPIRE 02,1098,846,833,209,624,843,265,551
,,,,EMPIRE 03,902,679,670,163,507,676,227,419
,,,,FUNKS GROVE 01,200,174,171,33,138,172,52,118
,,,,GRIDLEY 01,590,451,442,94,348,445,108,326
,,,,GRIDLEY 02,771,598,587,116,471,596,119,462
,,,,HUDSON 01,964,787,780,181,599,780,248,509
,,,,HUDSON 02,1023,838,833,226,607,837,318,489
,,,,LAWNDALE 01,131,99,95,12,83,98,23,74
,,,,LEXINGTON 01,892,667,658,186,472,665,234,412
,,,,LEXINGTON 02,885,688,682,163,519,681,198,456
,,,,MARTIN 01,824,653,641,138,503,651,174,461
,,,,MONEY CREEK 01,902,700,691,157,534,698,216,470
,,,,MT HOPE 01,740,590,584,117,467,587,146,432
,,,,NORMAL 01,963,701,687,372,315,700,436,237
,,,,NORMAL 02,1614,1219,1193,807,386,1218,889,297
,,,,NORMAL 03,936,769,750,418,332,759,488,250
,,,,NORMAL 04,704,572,561,266,295,564,309,232
,,,,NORMAL 05,648,550,544,249,295,547,289,228
,,,,NORMAL 06,628,548,546,197,349,546,197,349
,,,,NORMAL 07,1177,860,845,469,376,855,521,316
,,,,NORMAL 08,997,647,628,474,154,644,499,132
,,,,NORMAL 09,1061,772,746,470,276,768,516,224
,,,,NORMAL 10,841,612,601,307,294,609,372,216
,,,,NORMAL 11,1046,772,701,371,330,721,440,236
,,,,NORMAL 12,1125,882,859,395,464,876,484,361
,,,,NORMAL 13,1052,817,801,342,459,809,431,343
,,,,NORMAL 14,1428,1152,1129,703,426,1148,760,354
,,,,NORMAL 15,1347,1025,1009,524,485,1020,611,357
,,,,NORMAL 16,1208,857,844,424,420,853,512,307
,,,,NORMAL 17,1467,1021,1000,533,467,1016,649,328
,,,,NORMAL 18,1862,1431,1403,578,825,1420,773,602
,,,,NORMAL 19,1469,1203,1185,513,672,1194,675,481
,,,,NORMAL 20,1252,1011,990,413,577,1008,528,437
,,,,NORMAL 21,872,643,628,324,304,643,392,237
,,,,NORMAL 22,840,662,640,352,288,659,401,234
,,,,NORMAL 23,1116,771,746,389,357,767,448,302
,,,,NORMAL 24,1057,711,700,415,285,707,457,234
,,,,NORMAL 25,1770,1357,1318,501,817,1348,659,651
,,,,NORMAL 26,602,494,483,157,326,487,218,256
,,,,NORMAL 27,907,789,776,270,506,780,388,378
,,,,NORMAL 28,1119,813,793,420,373,813,476,304
,,,,NORMAL 29,1125,722,699,499,200,717,548,136
,,,,NORMAL 30,273,189,183,128,55,188,137,46
,,,,OLD TOWN 01,1752,1438,1417,333,1084,1425,565,825
,,,,OLD TOWN 02,852,708,701,152,549,702,235,451
,,,,RANDOLPH 01,1088,847,826,199,627,844,250,570
,,,,RANDOLPH 02,1208,961,950,214,736,959,294,635
,,,,RANDOLPH 03,870,694,683,158,525,690,226,450
,,,,TOWANDA 01,1411,1101,1087,323,764,1092,448,611
,,,,WEST 01,156,128,126,17,109,128,25,102
,,,,WHITE OAK 01,662,536,532,140,392,529,182,333
,,,,YATES 01,196,163,160,29,131,163,30,131
